Date,Now,Open,High,Low,Volueme,Rate
2015-11-27,32.000,33.200,33.600,32.000,385,-2.29
2015-11-26,32.750,32.400,34.150,32.250,1317,2.66
2015-11-25,31.900,30.400,32.000,30.400,692,5.63
2015-11-24,30.200,30.600,30.850,30.100,323,-1.47
2015-11-23,30.650,31.150,31.250,30.600,235,-1.13
2015-11-22,31.000,31.000,31.000,31.000,107,0.00
2015-11-20,31.000,31.500,31.750,31.000,203,-0.64
2015-11-19,31.200,30.800,31.600,30.700,248,2.13
2015-11-18,30.550,30.600,30.800,30.050,311,-0.16
2015-11-17,30.600,31.050,31.150,30.600,191,0.33
2015-11-16,30.500,30.600,30.950,30.500,188,-2.09
2015-11-15,31.150,31.150,31.150,31.150,006,0.00
2015-11-13,31.150,30.500,31.600,30.500,195,1.47
2015-11-12,30.700,30.950,31.000,30.700,152,-0.97
2015-11-11,31.000,30.700,31.200,30.550,281,-0.48
2015-11-10,31.150,30.850,31.350,30.600,270,-0.32
2015-11-09,31.250,30.900,31.300,30.400,355,0.16
2015-11-08,31.200,31.200,31.200,31.200,286,0.00
2015-11-06,31.200,32.350,32.400,31.050,519,-4.44
2015-11-05,32.650,32.350,32.700,32.200,192,0.15
2015-11-04,32.600,32.500,32.700,32.100,327,2.19
2015-11-03,31.900,32.500,33.000,31.550,439,-0.78
2015-11-02,32.150,30.700,32.250,30.400,446,4.72
2015-11-01,30.700,30.700,30.700,30.700,342,0.00
2015-10-30,30.700,31.150,31.200,30.450,462,-2.38
2015-10-29,31.450,31.700,32.150,31.300,416,0.00
2015-10-28,31.450,32.150,32.450,31.400,429,-2.18
2015-10-27,32.150,32.100,32.650,32.050,352,-2.28
2015-10-26,32.900,32.350,33.100,32.300,331,2.49
2015-10-25,32.100,32.100,32.100,32.100,073,0.00
2015-10-23,32.100,32.400,32.950,32.050,631,0.47
2015-10-22,31.950,33.200,33.450,31.850,1088,-5.05
2015-10-21,33.650,35.000,35.000,33.600,990,-5.74
2015-10-20,35.700,36.000,36.150,35.250,268,-0.14
2015-10-19,35.750,36.150,36.200,35.600,196,-0.97
2015-10-18,36.100,36.100,36.100,36.100,085,0.00
2015-10-16,36.100,36.900,37.050,36.000,189,-1.77
2015-10-15,36.750,35.950,36.800,35.850,292,0.96
2015-10-14,36.400,36.300,37.050,35.900,371,1.11
2015-10-13,36.000,36.800,37.150,35.800,294,-2.31
2015-10-12,36.850,37.550,37.550,36.700,242,-1.86
2015-10-11,37.550,37.550,37.550,37.550,066,0.00
2015-10-08,37.550,38.000,38.100,36.600,382,0.67
2015-10-07,37.300,37.050,37.700,36.800,386,0.27
2015-10-06,37.200,36.300,37.200,36.250,592,5.23
2015-10-05,35.350,35.250,35.950,35.100,429,2.32
2015-10-04,34.550,34.550,34.550,34.550,008,0.00
2015-10-02,34.550,34.200,34.750,33.800,304,2.52
2015-10-01,33.700,33.750,33.950,33.500,362,0.45
2015-09-30,33.550,33.700,33.800,33.350,413,-2.33
2015-09-29,34.350,34.350,34.350,34.350,008,0.00
2015-09-25,34.350,33.750,34.400,33.400,279,1.48
2015-09-24,33.850,34.900,34.950,33.600,415,-2.45
2015-09-23,34.700,34.500,35.250,34.350,164,-0.57
2015-09-22,34.900,34.900,35.150,34.700,199,0.29
2015-09-21,34.800,35.200,35.250,34.700,253,-2.66
2015-09-20,35.750,35.750,35.750,35.750,105,0.00
2015-09-18,35.750,36.400,36.450,35.450,309,-1.11
2015-09-17,36.150,35.750,36.450,35.350,471,2.99
2015-09-16,35.100,33.800,35.350,33.800,386,4.46
2015-09-15,33.600,34.500,34.600,33.350,384,-2.89
2015-09-14,34.600,35.300,35.450,34.350,213,-1.14
2015-09-13,35.000,35.000,35.000,35.000,034,0.00
2015-09-11,35.000,35.450,35.750,35.000,323,-2.64
2015-09-10,35.950,35.400,35.950,35.400,304,-0.14
