Date,Open,High,Low,Close,Adj Close,Volume
2011-05-16,28550.000000,29750.000000,28250.000000,29000.000000,26906.328125,404308
2011-05-17,29200.000000,30250.000000,29000.000000,29900.000000,27741.353516,366978
2011-05-18,30350.000000,31950.000000,30200.000000,31750.000000,29457.789063,503394
2011-05-19,32200.000000,32600.000000,30900.000000,31000.000000,28761.937500,463713
2011-05-20,31250.000000,32150.000000,30100.000000,32100.000000,29782.523438,328080
2011-05-23,31800.000000,32100.000000,29800.000000,30100.000000,27926.912109,373260
2011-05-24,29700.000000,30700.000000,29600.000000,30350.000000,28158.865234,220130
2011-05-25,30350.000000,31050.000000,28400.000000,28500.000000,26442.425781,380924
2011-05-26,29100.000000,29800.000000,27200.000000,29450.000000,27323.839844,508526
2011-05-27,29500.000000,30300.000000,29100.000000,29250.000000,27138.279297,206155
2011-05-30,29650.000000,30500.000000,29250.000000,30100.000000,27926.912109,260217
2011-05-31,30150.000000,32400.000000,30100.000000,32000.000000,29689.742188,675865
2011-06-01,32350.000000,33150.000000,31650.000000,32600.000000,30246.423828,417948
2011-06-02,31600.000000,33450.000000,31200.000000,33400.000000,30988.666016,441312
2011-06-03,33800.000000,33800.000000,32100.000000,32200.000000,29875.300781,406405
2011-06-07,31600.000000,31900.000000,29200.000000,29200.000000,27091.888672,614688
2011-06-08,29400.000000,29900.000000,28450.000000,29100.000000,26999.109375,386934
2011-06-09,29100.000000,29850.000000,29000.000000,29150.000000,27045.500000,409470
2011-06-10,29600.000000,30400.000000,29200.000000,29200.000000,27091.888672,253242
2011-06-13,28700.000000,29100.000000,27150.000000,27700.000000,25700.183594,326168
2011-06-14,27450.000000,29300.000000,27450.000000,28750.000000,26674.378906,274453
2011-06-15,29200.000000,29550.000000,28850.000000,29350.000000,27231.060547,168426
2011-06-16,28750.000000,28800.000000,27750.000000,28100.000000,26071.304688,241697
2011-06-17,28700.000000,29200.000000,28300.000000,29150.000000,27045.500000,352118
2011-06-20,29050.000000,29550.000000,28250.000000,28300.000000,26256.865234,175783
2011-06-21,28750.000000,30050.000000,28650.000000,30050.000000,27880.521484,425323
2011-06-22,30500.000000,32750.000000,30150.000000,32750.000000,30385.593750,820480
2011-06-23,32500.000000,33600.000000,32100.000000,32100.000000,29782.523438,542517
2011-06-24,32100.000000,32650.000000,30500.000000,31950.000000,29643.351563,451025
2011-06-27,31950.000000,32150.000000,30800.000000,31350.000000,29086.667969,216989
2011-06-28,31900.000000,32600.000000,31350.000000,31500.000000,29225.839844,342290
2011-06-29,32200.000000,32500.000000,31350.000000,31900.000000,29596.962891,339481
2011-06-30,32100.000000,32500.000000,31400.000000,32300.000000,29968.083984,289951
2011-07-01,32650.000000,32800.000000,30900.000000,31650.000000,29365.009766,596797
2011-07-04,31900.000000,33150.000000,31500.000000,33100.000000,30710.328125,462860
2011-07-05,33600.000000,35250.000000,33250.000000,35250.000000,32705.107422,1134095
2011-07-06,34900.000000,34950.000000,33750.000000,34650.000000,32148.421875,1341002
2011-07-07,34850.000000,36000.000000,33900.000000,35900.000000,33308.179688,1424398
2011-07-08,35950.000000,36250.000000,35100.000000,35450.000000,32890.664063,684501
2011-07-11,35050.000000,35550.000000,34500.000000,35000.000000,32473.156250,454606
2011-07-12,34250.000000,35300.000000,34250.000000,34600.000000,32102.033203,542515
2011-07-13,34850.000000,36450.000000,34000.000000,36100.000000,33493.742188,726671
2011-07-14,36100.000000,37350.000000,35700.000000,37250.000000,34560.714844,695340
2011-07-15,37100.000000,37600.000000,36750.000000,37300.000000,34607.105469,296742
2011-07-18,37600.000000,37800.000000,36150.000000,36200.000000,33586.519531,344399
2011-07-19,36100.000000,36700.000000,34500.000000,35750.000000,33169.007813,604190
2011-07-20,36250.000000,36250.000000,34600.000000,34900.000000,32380.373047,610737
2011-07-21,34800.000000,35300.000000,33200.000000,33800.000000,31359.789063,635310
2011-07-22,34650.000000,36400.000000,34450.000000,36100.000000,33493.742188,655629
2011-07-25,35900.000000,36250.000000,35300.000000,35300.000000,32751.494141,285269
2011-07-26,35850.000000,36900.000000,35500.000000,36650.000000,34004.031250,405632
2011-07-27,36550.000000,37300.000000,36250.000000,37300.000000,34607.105469,309470
2011-07-28,36450.000000,37450.000000,36400.000000,37200.000000,34514.324219,267459
2011-07-29,37000.000000,37400.000000,35750.000000,36350.000000,33725.691406,351713
2011-08-01,36750.000000,37000.000000,35950.000000,36300.000000,33679.300781,344825
2011-08-02,36200.000000,36500.000000,34400.000000,34400.000000,31916.474609,265277
2011-08-03,33650.000000,34050.000000,32500.000000,33200.000000,30803.107422,615682
2011-08-04,33750.000000,34050.000000,32050.000000,32100.000000,29782.523438,396716
2011-08-05,30000.000000,30750.000000,28450.000000,28900.000000,26813.546875,761608
2011-08-08,28500.000000,30250.000000,26450.000000,29600.000000,27463.011719,693486
2011-08-09,29200.000000,30000.000000,25450.000000,29900.000000,27741.353516,907520
2011-08-10,32100.000000,32150.000000,30500.000000,30550.000000,28344.423828,713465
2011-08-11,28850.000000,31900.000000,28850.000000,31350.000000,29086.667969,405949
2011-08-12,32000.000000,32200.000000,29400.000000,29400.000000,27277.449219,441870
2011-08-16,30500.000000,31300.000000,30500.000000,30950.000000,28715.546875,270877
2011-08-17,31400.000000,33350.000000,30950.000000,32900.000000,30524.765625,453155
2011-08-18,32900.000000,34450.000000,32600.000000,33850.000000,31406.179688,580469
2011-08-19,32500.000000,34000.000000,30500.000000,31800.000000,29504.179688,454993
2011-08-22,32000.000000,32500.000000,29600.000000,29600.000000,27463.011719,247328
2011-08-23,30550.000000,31350.000000,30050.000000,30700.000000,28483.595703,309642
2011-08-24,31450.000000,32700.000000,30550.000000,30700.000000,28483.595703,351688
2011-08-25,31300.000000,31750.000000,29200.000000,29700.000000,27555.791016,425887
2011-08-26,29250.000000,29950.000000,28750.000000,29800.000000,27648.572266,271335
2011-08-29,30550.000000,32250.000000,29800.000000,31850.000000,29550.570313,496336
2011-08-30,32000.000000,32350.000000,30500.000000,31600.000000,29318.621094,380637
2011-08-31,31950.000000,33600.000000,31800.000000,33600.000000,31174.228516,465248
2011-09-01,33500.000000,34700.000000,33000.000000,33650.000000,31220.619141,461097
2011-09-02,33650.000000,35050.000000,33050.000000,34800.000000,32287.593750,407662
2011-09-05,34450.000000,34500.000000,33150.000000,33150.000000,30756.718750,238394
2011-09-06,32300.000000,34100.000000,32050.000000,33250.000000,30849.498047,316101
2011-09-07,33900.000000,34350.000000,33300.000000,33900.000000,31452.568359,226465
2011-09-08,34350.000000,35250.000000,33000.000000,33550.000000,31127.839844,548658
2011-09-09,33000.000000,33500.000000,31350.000000,32500.000000,30153.644531,381627
2011-09-14,32350.000000,32450.000000,30650.000000,31450.000000,29179.451172,267020
2011-09-15,32150.000000,32700.000000,30300.000000,32100.000000,29782.523438,301910
2011-09-16,32700.000000,33000.000000,31700.000000,33000.000000,30617.544922,407002
2011-09-19,32500.000000,33050.000000,31300.000000,31700.000000,29411.398438,248630
2011-09-20,31700.000000,32000.000000,30800.000000,31400.000000,29133.058594,216036
2011-09-21,31650.000000,33250.000000,31600.000000,32650.000000,30292.814453,404038
2011-09-22,31900.000000,32200.000000,30500.000000,31200.000000,28947.498047,304586
2011-09-23,29400.000000,29900.000000,27900.000000,27900.000000,25885.744141,515254
2011-09-26,28500.000000,28600.000000,23750.000000,24300.000000,22545.648438,618370
2011-09-27,25900.000000,26200.000000,25000.000000,25700.000000,23844.574219,797478
2011-09-28,26350.000000,26950.000000,25000.000000,25000.000000,23195.109375,575253
2011-09-29,24550.000000,25100.000000,23900.000000,24700.000000,22916.769531,650343
2011-09-30,25200.000000,25950.000000,24550.000000,24900.000000,23102.332031,730497
2011-10-04,22900.000000,22900.000000,21200.000000,21200.000000,19669.455078,1312733
2011-10-05,21500.000000,21600.000000,18050.000000,18350.000000,17025.210938,1955951
2011-10-06,19500.000000,20200.000000,19300.000000,19700.000000,18277.748047,1443412
2011-10-07,20600.000000,22600.000000,20450.000000,22300.000000,20690.037109,1353258
2011-10-10,22800.000000,23450.000000,22500.000000,22650.000000,21014.771484,715858
2011-10-11,23750.000000,23950.000000,22900.000000,22900.000000,21246.722656,619323
2011-10-12,23200.000000,23950.000000,22450.000000,23850.000000,22128.134766,476030
2011-10-13,24300.000000,24500.000000,23700.000000,23900.000000,22174.525391,536434
2011-10-14,23800.000000,24250.000000,23150.000000,24050.000000,22313.697266,301704
2011-10-17,24500.000000,25100.000000,24200.000000,24900.000000,23102.332031,472537
2011-10-18,24000.000000,24500.000000,23800.000000,24500.000000,22731.208984,463594
2011-10-19,25000.000000,25300.000000,23350.000000,23850.000000,22128.134766,604403
2011-10-20,23850.000000,24600.000000,21200.000000,21800.000000,20226.136719,746225
2011-10-21,22350.000000,23050.000000,21550.000000,23000.000000,21339.501953,561535
2011-10-24,23450.000000,24000.000000,23300.000000,23700.000000,21988.966797,380990
2011-10-25,24000.000000,25300.000000,23900.000000,24100.000000,22360.087891,866671
2011-10-26,23550.000000,24300.000000,23200.000000,24100.000000,22360.087891,360901
2011-10-27,24850.000000,27700.000000,24600.000000,27700.000000,25700.183594,1644388
2011-10-28,28300.000000,29650.000000,27200.000000,27300.000000,25329.058594,1208560
2011-10-31,27700.000000,28350.000000,27250.000000,27450.000000,25468.232422,456195
